X,Y,OBJECTID,Comunidad_,Provincia,Isla,Código_IN,Término_M,Web_munici,Identifica,Nombre,Nombre_alt,Nombre_a_1,Descripci,Longitud,Anchura,Variación,Grado_ocup,Grado_urba,Paseo_mar,Tipo_paseo,Tipo_de_ar,Condicione,Zona_fonde,Nudismo,Vegetació,Vegetaci_1,Actuacione,Actuacio_1,Bandera_az,Auxilio_y_,Auxilio_y1,Señalizac,Señaliza_,Forma_de_a,Señaliza1,Acceso_dis,Carretera_,Autobús,Autobús_t,Aparcamien,Aparcami_1,Aparcami_2,Aseos,Lavapies,Duchas,Teléfonos,Papelera,Servicio_l,Alquiler_s,Alquiler_h,Alquiler_n,Oficina_tu,Establecim,Establec_1,Zona_infan,Zona_depor,Club_naút,Submarinis,Zona_Surf,Observacio,Coordenada,Coordena_1,Huso,Coordena_2,Coordena_3,Puerto_dep,Web_puerto,Distancia_,Hospital,Dirección,Teléfono_,Distancia1,Composici,Fachada_Li,Espacio_pr,Espacio__1,Coordena_4,Coordena_5,URL_MAGRAM
-1862965.0743,3259038.4743,630,Canarias,Santa Cruz de Tenerife,Tenerife,38001,Adeje,http://www.adeje.es,627,La Pinta, , ,"Resguardada playa con todo tipo de infraestructuras, que la convierten en uno de los principales focos de turismo de esta zona de la isla",180 metros,45 metros, ,Alto,Urbana,Sí, ,Dorada,Aguas tranquilas,No,No,Sí,en la playa, , ,No,Sí, ,Sí, ,A pie fácil / Coche,Sí,Sí, ,Sí,Interurbano (Línea 467),Sí, ,Más de 100 plazas,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,Emergencias (112).,329492,3107258,28,16° 44' 7.16'' W,28° 04' 47.410'' N,Puerto Colón,http://www.puertocolon.com/,5 km.,Hospital Quirónsalud Costa Adeje,Urbanización San Eugenio s/n (Adeje),922752626,"1,2 km.",Arena,Urbana,No, ,-16.7353,28.0798,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=627
-1862720.1714,3257625.4363,631,Canarias,Santa Cruz de Tenerife,Tenerife,38001,Adeje,http://www.adeje.es,628,Troya,Las Américas, ,"Playa con un alto nivel de equipamientos y rodeada de todo tipo de infraestructuras hoteleras, lo que la convierte en uno de los núcleos turísticos de la isla.",400 metros,55 metros, ,Alto,Urbana,Sí, ,Oscura,Aguas tranquilas,No,No,No, , , ,No,Sí, ,Sí, ,A pie fácil / Coche,Sí,Sí, ,Sí,Interurbano (Línea 467),Sí, , ,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,Emergencias (112).,329691,3106014,28,16° 43' 59.30'' W,28° 04' 06.970'' N,Puerto Colón,http://www.puertocolon.com/,"0,7 km.",Hospital Quirónsalud Costa Adeje,Urbanización San Eugenio s/n (Adeje),922752626,"1,1 km.",Arena,Urbana,No, ,-16.7331,28.0686,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=628
-1842738.3228,3252907.9655,632,Canarias,Santa Cruz de Tenerife,Tenerife,38017,Granadilla de Abona,http://www.granadilladeabona.org,677,La Tejita, , ,Playa de un kilómetro de longitud enclavada en el Paraje Natural Protegido que conforma la llamativa Montaña Roja,1.000 metros,33 metros, ,Medio,Aislada,No, ,Oscura,Oleaje moderado / Ventosa,No,Sí,Sí,en la playa, , ,No,Sí, ,Sí, ,A pie fácil,Sí,No, ,Sí,"Interurbano, Línea 470",Sí, ,Más de 100 plazas,Sí, ,No,No,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,Emergencias (112).,347280,3101632,28,16° 33' 13.06'' W,28° 01' 52.60'' N,Puerto Deportivo Marina San Miguel (Amarilla Golf & Marina),http://www.marinasanmiguel.com, ,Clínica San Eugenio,Urbanización San Eugenio (Adeje),922752626, ,Arena,Montaña,Sí,LIC/ZEC/ZEPA/Hábitats naturales de Interés Comunitario/Reserva Natural Especial,-16.5536,28.0312,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=677
-1841502.6764,3253399.8177,633,Canarias,Santa Cruz de Tenerife,Tenerife,38017,Granadilla de Abona,http://www.granadilladeabona.org,678,Montaña Roja, , ,"A los pies de la Montaña Roja encontramos esta recoleta playa, que permite disfrutar de un entorno agradable dentro de un Paraje Natural Protegido.",50 metros,31 metros, ,Medio,Aislada,No, ,Dorada,Oleaje moderado / Ventosa,No,No,Sí,en la playa, , ,No,No, ,No, ,A pie fácil,No,No, ,Sí,"Interurbano, Línea 470",Sí, ,Entre 50 y 100 plazas,No, ,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,Emergencias (112).,348376,3102050,28,16° 32' 33.17'' W,28° 02' 06.53'' N,Puerto Deportivo Marina San Miguel (Amarilla Golf & Marina),http://www.marinasanmiguel.com, ,Clínica San Eugenio,Urbanización San Eugenio (Adeje),922752626, ,Arena,Montaña,Sí,LIC/ZEC/ZEPA/Hábitats naturales de Interés Comunitario/Reserva Natural Especial,-16.5425,28.0351,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=678
-1918591.4238,3252075.6409,682,Canarias,Santa Cruz de Tenerife,La Gomera,38003,Alajeró,http://www.ayuntamientoalajero.es,568,Ereses, , ,"Cala aislada y rocosa situada al fondo de un barranco, entre acantilados.",250 metros,30 metros, ,Bajo,Aislada,No, ,Oscura,Aguas tranquilas,No,No,Sí,en la playa, , ,No,No, ,No, ,Barco,No,No,GM-3,No, ,No, , ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Emergencias (112).,280268,3101942,28,17° 14' 06.08'' W,28° 01' 28.780'' N,Puerto Deportivo de San Sebastián,http://www.ekpsa.eus/es/nuestros-puertos/detalle.php?id=2,40 km.,Hospital Nuestra Señora de Guadalupe,"c/ Langrero, s/n. 38800 - San Sebastián de la Gomera",922140200,40 km.,Arena / Bolos,Montaña,Sí,Sitio de Interés Científico,-17.235,28.0246,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=568
-1914216.5678,3252630.5183,683,Canarias,Santa Cruz de Tenerife,La Gomera,38003,Alajeró,http://www.ayuntamientoalajero.es,569,Santiago, , ,"Playa de aguas claras y limpias muy frecuentada en verano. La zona cuenta con numerosos hoteles, restaurantes, etc.",1.000 metros,10 metros, ,Medio,Urbana,Sí, ,Oscura,Aguas tranquilas,Sí,No,No, ,Sí, ,Sí,Sí,Medios humanos y materiales,Sí, ,A pie fácil,Sí,Sí,GM-3,Sí,Urbano,Sí, ,Entre 50 y 100 plazas,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,No,Emergencias (112).,284141,3102359,28,17° 11' 44.57'' W,28° 01' 44.490'' N,Puerto Deportivo de San Sebastián,http://www.ekpsa.eus/es/nuestros-puertos/detalle.php?id=2,35 km.,Centro de Salud Playa de Santiago,"Junta, s/n (Alajero)",922895160,"0,2 km.",Arena / Grava,Semiurbana,Sí,Hábitats naturales de Interés Comunitario/Reserva de la Biosfera,-17.1957,28.029,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=569
-1912435.456,3271484.6236,684,Canarias,Santa Cruz de Tenerife,La Gomera,38021,Hermigua,http://www.hermigua.org,571,Santa Catalina, , ,Playa amplia con bajo grado de ocupación y de fuerte oleaje. No ofrece ningún tipo de servicio.,1.000 metros,35 metros, ,Medio,Aislada,No, , ,Oleaje fuerte,No,No,Sí,en la playa, , ,No,No, ,Sí, ,A pie fácil / Coche,Sí,No,Carretera a la Playa,Sí,Interurbano,Sí, ,Menos de 50 plazas,No, ,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,Emergencias (112).,286012,3118888,28,"17º 10' 46,946'' W","28º 10' 42,447'' N",Puerto Deportivo de San Sebastián,http://www.ekpsa.eus/es/nuestros-puertos/detalle.php?id=2,22 km.,Hospital Nuestra Señora de Guadalupe,"c/ Langrero, s/n. 38800 - San Sebastián de la Gomera",922140200,23 km.,Bolos / Grava,Semiurbana,Sí,Hábitats naturales de Interés Comunitario/Reserva de la Biosfera,-17.1797,28.1784,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=571
-1912847.3381,3253387.2059,685,Canarias,Santa Cruz de Tenerife,La Gomera,38036,San Sebastián de la Gomera,http://www.sansebastiangomera.org,572,Tapahuga, , ,"Playa cercana al núcleo urbano de Santiago, que disfruta de aguas tranquilas. No está dotada de infraestructuras.",350 metros,30 metros, ,Bajo,Aislada,No, , ,Aguas tranquilas,No,No,No, , , ,No,No, ,No, ,A pie difícil / Coche,Sí,No,GM-3,No, ,Sí, , ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Emergencias (112).,285363,3103002,28,17° 11' 00.510'' W,28° 02' 6.290'' N,Puerto Deportivo de San Sebastián,http://www.ekpsa.eus/es/nuestros-puertos/detalle.php?id=2,35 km.,Hospital Nuestra Señora de Guadalupe,"c/ Langrero, s/n. 38800 - San Sebastián de la Gomera",922140200,35 km.,Arena / Bolos / Grava,Semiurbana,Sí,Reserva de la Biosfera,-17.1834,28.035,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=572
-1912535.6435,3253752.9533,686,Canarias,Santa Cruz de Tenerife,La Gomera,38036,San Sebastián de la Gomera,http://www.sansebastiangomera.org,573,El Medio, , ,"Situada entre barrancos, esta pequeña cala goza de tranquilidad pero no ofrece al visitante ningún tipo de servicio.",350 metros,50 metros, ,Bajo,Aislada,No, ,Oscura,Aguas tranquilas,No,No,Sí,en la playa, , ,No,No, ,No, ,A pie difícil / Coche,Sí,No,GM-3,No, ,Sí, , ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Emergencias (112).,285644,3103319,28,17° 10' 50.440'' W,28° 02' 16.58'' N,Puerto Deportivo de San Sebastián,http://www.ekpsa.eus/es/nuestros-puertos/detalle.php?id=2,36 km.,Hospital Nuestra Señora de Guadalupe,"c/ Langrero, s/n. 38800 - San Sebastián de la Gomera",922140200,36 km.,Arena / Grava,Montaña,Sí,Reserva de la Biosfera,-17.1806,28.0379,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=573
-1912090.3656,3253904.3,687,Canarias,Santa Cruz de Tenerife,La Gomera,38036,San Sebastián de la Gomera,http://www.sansebastiangomera.org,574,Chinguarime, , ,"Encajada al fondo de un barranco, a esta playa sólo se puede acceder en barco. A cambio permite disfrutar del entorno en un ambiente tranquilo.",800 metros,30 metros, ,Bajo,Aislada,No, ,Oscura,Aguas tranquilas,No,No,Sí,en la playa, , ,No,No, ,No, ,A pie difícil / Barco,No,No,GM-3,No, ,No, , ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Emergencias (112).,286040,3103445,28,17° 10' 35.980'' W,28° 02' 20.85'' N,Puerto Deportivo de San Sebastián,http://www.ekpsa.eus/es/nuestros-puertos/detalle.php?id=2,14 km.,Hospital Nuestra Señora de Guadalupe,"c/ Langrero, s/n. 38800 - San Sebastián de la Gomera",922140200,14 km.,Arena / Grava,Montaña,Sí,Reserva de la Biosfera,-17.1766,28.0391,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=574
