X,Y,OBJECTID,Comunidad_,Provincia,Isla,Código_IN,Término_M,Web_munici,Identifica,Nombre,Nombre_alt,Nombre_a_1,Descripci,Longitud,Anchura,Variación,Grado_ocup,Grado_urba,Paseo_mar,Tipo_paseo,Tipo_de_ar,Condicione,Zona_fonde,Nudismo,Vegetació,Vegetaci_1,Actuacione,Actuacio_1,Bandera_az,Auxilio_y_,Auxilio_y1,Señalizac,Señaliza_,Forma_de_a,Señaliza1,Acceso_dis,Carretera_,Autobús,Autobús_t,Aparcamien,Aparcami_1,Aparcami_2,Aseos,Lavapies,Duchas,Teléfonos,Papelera,Servicio_l,Alquiler_s,Alquiler_h,Alquiler_n,Oficina_tu,Establecim,Establec_1,Zona_infan,Zona_depor,Club_naút,Submarinis,Zona_Surf,Observacio,Coordenada,Coordena_1,Huso,Coordena_2,Coordena_3,Puerto_dep,Web_puerto,Distancia_,Hospital,Dirección,Teléfono_,Distancia1,Composici,Fachada_Li,Espacio_pr,Espacio__1,Coordena_4,Coordena_5,URL_MAGRAM,Longitud_num,Anchura_num,Distancia_Hosp_num,Fact_Paseo,Fact_Mar,Fact_Ocup,Fact_Urb,Fact_Bandera,Fact_Auxilio,Fact_Nudismo,Fact_Es_Arena,Fact_Dificultad_Acceso,Seguridad,Paradisiaca,Cluster_ID
-1730027.3384,3219868.4868,2875,Canarias,Las Palmas,Gran Canaria,35019,San Bartolomé de Tirajana,http://www.maspalomas.com,2910,San Agustín, , ,La playa San Agustín situada en San Bartolomé de Tirajana es una playa de arena de 670 metros de longitud.,670 metros,70 metros, ,Alto,Urbana,Sí,Completo,Dorada,Ventosa / Oleaje moderado,No,No,No, , , ,Sí,Sí,Todo el año,Sí, ,A pie fácil / Coche,Sí,Sí,GC-500,Sí,Línea 52 Global,Sí, , ,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,Emergencias (112).,446684.0,3071720.0,28,"15º 32' 28,223'' W","27º 46' 08,365'' N",Puerto Deportivo Pasito Blanco,http://www.pasitoblanco.com,11 km.,Hospital Universitario Insular de Las Palmas,"Avda. Alcalde Díaz Saavedra Navarro, s/n (Las Palmas de Gran Canaria)",928444000,44 km.,Arena,Urbana,No, ,-15.5411,27.7689,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=2910,670.0,70.0,44.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.49866362451108215,0.22019230769230771,2
-1731051.4777,3219642.0337,2876,Canarias,Las Palmas,Gran Canaria,35019,San Bartolomé de Tirajana,http://www.maspalomas.com,2911,Las Burras, , ,La playa Las Burras situada en San Bartolomé de Tirajana es una playa de arena dorada de 300 metros de longitud.,300 metros,110 metros, ,Alto,Semiurbana,Sí,Completo,Dorada,Ventosa / Oleaje moderado,No,No,No, , , ,No,No, ,Sí, ,A pie fácil / Coche,Sí,Sí,GC-500,Sí,Línea 52 Global,No, , ,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,Alquiler de neumáticos. Emergencias (112).,445777.0,3071525.0,28,"15º 33' 01,400'' W","27º 46' 01,572'' N",Puerto Deportivo Pasito Blanco,http://www.pasitoblanco.com,"9,8 km.",Hospital Universitario Insular de Las Palmas,"Avda. Alcalde Díaz Saavedra Navarro, s/n (Las Palmas de Gran Canaria)",928444000,44 km.,Arena,Urbana,No, ,-15.5503,27.7671,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=2911,300.0,110.0,44.0,1.0,0.75,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.17930465015210775,0.33955128205128204,0
-1731396.5681,3219415.5843,2877,Canarias,Las Palmas,Gran Canaria,35019,San Bartolomé de Tirajana,http://www.maspalomas.com,2912,El Cochino, , ,La playa El Cochino situada en San Bartolomé de Tirajana es una playa de arena dorada de 250 metros de longitud.,250 metros,20 metros, ,Alto,Semiurbana,Sí,Completo,Dorada,Aguas tranquilas,No,No,No, , , ,No,No, ,Sí, ,A pie fácil / Coche,Sí,Sí,GC-500,Sí,Línea 52 Global,No, , ,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,Emergencias (112).,445470.0,3071327.0,28,"15º 33' 12,328'' W","27º 45' 55,256'' N",Puerto Deportivo Pasito Blanco,http://www.pasitoblanco.com,"9,6 km.",Hospital Universitario Insular de Las Palmas,"Avda. Alcalde Díaz Saavedra Navarro, s/n (Las Palmas de Gran Canaria)",928444000,44 km.,Arena,Urbana,No, ,-15.5534,27.7653,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=2912,250.0,20.0,44.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.43686875271621034,0.49448717948717946,0
-1732810.3256,3218421.7674,2878,Canarias,Las Palmas,Gran Canaria,35019,San Bartolomé de Tirajana,http://www.maspalomas.com,2913,El Inglés, , ,La playa El Inglés situada en San Bartolomé de Tirajana es una playa de arena de 2700 metros de longitud.,2.700 metros,50 metros, ,Alto,Urbana,Sí,Completo,Dorada,Aguas tranquilas,No,No,No, , , ,Sí,Sí,Todo el año,Sí, ,A pie fácil / Coche,Sí,Sí,GC-500,Sí,"Línea 6,32,33 Global",No, , ,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,Emergencias (112).,444215.0,3070457.0,28,"15º 33' 57,995'' W","27º 45' 26,700'' N",Puerto Deportivo Pasito Blanco,http://www.pasitoblanco.com,"8,5 km.",Hospital Universitario Insular de Las Palmas,"Avda. Alcalde Díaz Saavedra Navarro, s/n (Las Palmas de Gran Canaria)",928444000,49 km.,Arena,Dunas,Sí,ZEC,-15.5661,27.7574,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=2913,2.7,50.0,49.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7624321599304651,0.3668051282051282,2
-1734635.9653,3215679.71,2879,Canarias,Las Palmas,Gran Canaria,35019,San Bartolomé de Tirajana,http://www.maspalomas.com,2914,Maspalomas, , ,La playa Maspalomas situada en San Bartolomé de Tirajana es una playa de arena de 2710 metros de longitud.,2.710 metros,75 metros, ,Alto,Semiurbana,Sí,Parcial,Dorada,Aguas tranquilas,No,Sí,No, , , ,Sí,Sí,Todo el año,Sí, ,A pie fácil / Coche,Sí,Sí,GC-510,Sí,"Línea 5,50 Global",Sí, , ,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,Emergencias (112).,442587.0,3068050.0,28,"15º 34' 57,306'' W","27º 44' 08,197'' N",Puerto Deportivo Pasito Blanco,http://www.pasitoblanco.com,5 km.,Hospital Universitario Insular de Las Palmas,"Avda. Alcalde Díaz Saavedra Navarro, s/n (Las Palmas de Gran Canaria)",928444000,52 km.,Arena,Dunas,Sí,ZEC,-15.5825,27.7356,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=2914,2.71,75.0,52.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.7278271273359409,0.5001389743589744,2
-1736739.9037,3215717.441,2880,Canarias,Las Palmas,Gran Canaria,35019,San Bartolomé de Tirajana,http://www.maspalomas.com,2915,El Faro, , ,La playa El Faro situada en San Bartolomé de Tirajana es una playa compuesta de bolos y grva de 320 metros de longitud.,320 metros,39 metros, ,Alto,Urbana,Sí,Completo, ,Oleaje moderado,No,No,No, ,No, ,No,No, ,No, ,A pie fácil,No,No,GC-510,Sí,"Línea 5, 30, 50 Global",No, , ,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,La zona ZEC que se encientra a 500 metros mar adentro es la Franja Marina de Mogán GC-33. La que se localiza a escasos 20 metros es Sebadales de Playa del Inglés GC-32. El acceso se realiza por unos accesos (rampa de obra y accesos de tierra compacta),440725.0,3068092.0,28,"15º 36' 5,249'' W","27º 44' 09,596'' N",Puerto Deportivo Pasito Blanco,http://www.pasitoblanco.com,"3,1 km.",San Roque,c/ Del Mar de Siberia s/n. Meloneras. San Bartolomé de Tirajana (G. Canaria),928063600,2 km.,Bolos / Grava,Urbana,Sí,ZEC,-15.6014,27.7359,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=2915,320.0,39.0,2.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.519742285962625,0.1544102564102564,0
-1737508.0081,3216459.5053,2881,Canarias,Las Palmas,Gran Canaria,35019,San Bartolomé de Tirajana,http://www.maspalomas.com,2916,Las Mujeres, , ,"La playa Las Mujeres situada en San Bartolomé de Tirajana es una playa de bolos, grava y arena de 520 metros de longitud, en un entono natural agradable.",520 metros,25 metros, ,Alto,Urbana,Sí,Completo,Oscura,Oleaje moderado,No,No,No, ,No, ,No,No, ,Sí,Banderas,A pie fácil,No,No,GC-500,Sí,"Línea 5, 30, 50 Global",Sí,No vigilado,Entre 50 y 100 plazas,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,La zona ZEC que se encuentra a 500 metros mar adentro es la Franja Marina de Mogán GC-33. El acceso a pie se realiza por u sendero de pendiente media desde el paseo marítimo. Emergencias (112).,440048.0,3068749.0,28,"15º 36' 30,092'' W","27º 44' 30,514'' N",Puerto Deportivo Pasito Blanco,http://www.pasitoblanco.com,"2,1 km.",San Roque,c/ Del Mar de Siberia s/n. Meloneras. San Bartolomé de Tirajana (G. Canaria),928063600,"1,3 km.",Arena / Bolos / Grava,Urbana,Sí,ZEC,-15.6083,27.7418,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=2916,520.0,25.0,1.3,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5144491525423729,0.26,0
-1737931.0222,3216887.1539,2882,Canarias,Las Palmas,Gran Canaria,35019,San Bartolomé de Tirajana,http://www.maspalomas.com,2917,Las Meloneras, , ,"La playa Las Meloneras situada en San Bartolomé de Tirajana es una playa compuesta de arena dorada, grava y bolos de pequeño tamaño de 283 metros de longitud, con numerosos servicios de restauración.",283 metros,68 metros, ,Alto,Urbana,Sí,Completo,Dorada,Aguas tranquilas,No,No,No, ,Sí,Dispone de pasarelas y rampas,Sí,Sí,Temporada estival,Sí,Señalizacion de peligro Temporada,A pie fácil / Coche,Sí,Sí,GC-510,Sí,"Línea 5, 30, 50 Global",Sí,Vigilado,Más de 100 plazas,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,La zona ZEC que se encuentra a 500 metros mar adentro es la Fran Maria de Mogán GC-33. Emergencias (112).,439675.0,3069127.0,28,"15º 36' 43,749'' W","27º 44' 42,933'' N",Puerto Deportivo Pasito Blanco,http://www.pasitoblanco.com,"1,6 km.",San Roque,c/ Del Mar de Siberia s/n. Meloneras. San Bartolomé de Tirajana (G. Canaria),928063600,"0,8 km.",Arena / Bolos / Grava,Urbana,Sí,ZEC,-15.6121,27.7452,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=2917,283.0,68.0,0.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7624815297696654,0.38717948717948714,2
-1738921.7657,3217365.1298,2883,Canarias,Las Palmas,Gran Canaria,35019,San Bartolomé de Tirajana,http://www.maspalomas.com,2918,Pasito Blanco,El Hornillo, ,"La playa Pasito Blanco situada en San Bartolomé de Tirajana es una playa compuesta de arena oscura de 203 metros de longitud, junto al puerto de Pasito Blanco.",203 metros,76 metros, ,Medio,Semiurbana,No, ,Oscura,Aguas tranquilas,Sí,No,Sí,detrás de la playa,No, ,No,No, ,Sí,Banderas,A pie fácil,Sí,No,GC-500,Sí,"Línea 6, 33 Global",Sí,No vigilado,Entre 50 y 100 plazas,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,La zona ZEC que se encuentra 500 metros mar adentro es la Franja Marina de Mogán GC-33. El aparcamiento se encuentra situado a lo largo de la calle La Goleta a más de 500 metros de la playa. El acceso se realiza a pie desde la entradaa la urbanización,438800.0,3069553.0,28,"15º 37' 15,787'' W","27º 44' 56,407'' N",Puerto Deportivo Pasito Blanco,http://www.pasitoblanco.com,"0,1 km.",San Roque,c/ Del Mar de Siberia s/n. Meloneras. San Bartolomé de Tirajana (G. Canaria),928063600,"1,3 km.",Arena,Montaña,Sí,ZEC,-15.621,27.749,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=2918,203.0,76.0,1.3,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.638705562798783,0.6607435897435897,0
-1740880.9887,3217566.3878,2884,Canarias,Las Palmas,Gran Canaria,35019,San Bartolomé de Tirajana,http://www.maspalomas.com,2919,Montaña de Arena,La Cometa, ,"La playa Montaña de Arena situada en San Bartolomé de Tirajana es una playa de arena oscura de 250 metros de longitud, en un entorno natural agradable.",250 metros,60 metros, ,Alto,Aislada,No, ,Oscura,Oleaje moderado,No,Sí,Sí,detrás de la playa,Sí,Limpieza de playas.,No,No, ,No, ,A pie fácil,Sí,No,GC-500,Sí,"Línea 6, 33 Global",No, , ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,La zona ZEC que se encuentra a 500 metros mar adentro es la Franja Marina de Mogán GC-33. Emergencias (112).,437067.0,3069739.0,28,"15º 38' 19,236'' W","27º 45' 02,488'' N",Puerto Deportivo Pasito Blanco,http://www.pasitoblanco.com,2 km.,San Roque,c/ Del Mar de Siberia s/n. Meloneras. San Bartolomé de Tirajana (G. Canaria),928063600,"3,3 km.",Arena,Montaña,Sí,ZEC,-15.6386,27.7506,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=2919,250.0,60.0,3.3,0.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4657811820947414,0.5078205128205128,3
